target,upper,lower,adj,mode,min_remain,envs_total,envs_top_effFR,envs_top_cew,envs_top_both,mean_eff_funded,min_eff_funded,mean_median_cew,min_median_cew,mean_swr,min_swr,mean_eff_sr,pct_top_effFR,pct_top_cew,pct_top_both,source
0.95,0.99,0.8,0.05,amount,10,54,52,0,0,0.950370987654321,0.8637750000000001,46511.984604381556,34846.96122066697,0.028290950576237015,0.0219,0.89225,0.9629629629629629,0.0,0.0,auto_threshold
0.95,0.99,0.8,0.05,amount,5,54,52,0,0,0.9503394032921811,0.86375,46855.31552770274,34902.5261929401,0.028290950576237015,0.0219,0.8915092592592593,0.9629629629629629,0.0,0.0,auto_threshold
0.95,0.99,0.8,0.05,amount,3,54,52,0,0,0.9503363168724279,0.86375,46939.84815649401,34917.276632880516,0.028290950576237015,0.0219,0.8914444444444444,0.9629629629629629,0.0,0.0,auto_threshold
0.95,0.99,0.8,0.05,amount,1,54,49,9,6,0.9503347736625515,0.86375,46989.91870683585,34924.84544378962,0.028290950576237015,0.0219,0.8913888888888889,0.9074074074074074,0.16666666666666666,0.1111111111111111,auto_threshold
0.95,0.99,0.7,0.05,amount,10,54,52,0,0,0.9501850823045267,0.8637750000000001,46529.85934327814,34877.83915042106,0.028290950576237015,0.0219,0.8906944444444443,0.9629629629629629,0.0,0.0,auto_threshold
0.95,0.99,0.7,0.05,amount,5,54,51,0,0,0.9501592592592593,0.8637416666666666,46880.74180173798,34911.1831603622,0.028290950576237015,0.0219,0.89,0.9444444444444444,0.0,0.0,auto_threshold
0.95,0.99,0.7,0.05,amount,3,54,51,0,0,0.9501563786008231,0.8637416666666666,46966.1612863358,34928.199812694715,0.028290950576237015,0.0219,0.8899351851851852,0.9444444444444444,0.0,0.0,auto_threshold
0.95,0.99,0.7,0.05,amount,1,54,48,9,6,0.9501560699588478,0.8637416666666666,47017.56771097672,34936.66286467531,0.028290950576237015,0.0219,0.8899166666666667,0.8888888888888888,0.16666666666666666,0.1111111111111111,auto_threshold
0.95,0.9,0.8,0.05,amount,10,54,48,0,0,0.9500549382716049,0.8637416666666665,47235.3119193233,36325.75324040876,0.028290950576237015,0.0219,0.8899907407407407,0.8888888888888888,0.0,0.0,auto_threshold
0.95,0.9,0.8,0.05,amount,5,54,48,0,0,0.950026183127572,0.8637249999999999,47597.154580387665,36374.412797498335,0.028290950576237015,0.0219,0.8893888888888889,0.8888888888888888,0.0,0.0,auto_threshold
0.95,0.9,0.8,0.05,amount,3,54,47,0,0,0.950024279835391,0.8637249999999999,47688.37116978847,36405.5105263901,0.028290950576237015,0.0219,0.8893518518518518,0.8703703703703703,0.0,0.0,auto_threshold
0.95,0.9,0.8,0.05,amount,1,54,44,9,6,0.9500220164609053,0.8637249999999999,47742.35317494692,36425.32386605954,0.028290950576237015,0.0219,0.8892777777777778,0.8148148148148148,0.16666666666666666,0.1111111111111111,auto_threshold
0.95,0.95,0.8,0.05,amount,10,54,39,0,0,0.9499227880658436,0.8637416666666665,47278.2636499729,36418.07104255983,0.028290950576237015,0.0219,0.8895462962962962,0.7222222222222222,0.0,0.0,auto_threshold
0.95,0.95,0.8,0.05,amount,5,54,40,0,0,0.9498934156378601,0.8637249999999999,47640.126197799684,36464.384316987795,0.028290950576237015,0.0219,0.8887592592592592,0.7407407407407407,0.0,0.0,auto_threshold
0.95,0.9,0.7,0.05,amount,10,54,35,0,0,0.9498921810699588,0.8637333333333334,47256.21820666937,36344.49193329418,0.028290950576237015,0.0219,0.8887962962962962,0.6481481481481481,0.0,0.0,auto_threshold
0.95,0.95,0.8,0.05,amount,3,54,37,0,0,0.9498915637860081,0.8637249999999999,47731.822134113434,36477.28560031674,0.028290950576237015,0.0219,0.8886759259259259,0.6851851851851852,0.0,0.0,auto_threshold
0.95,0.95,0.8,0.05,amount,1,54,34,9,6,0.9498911008230453,0.8637249999999999,47788.851094064456,36485.559084739754,0.028290950576237015,0.0219,0.8886574074074074,0.6296296296296297,0.16666666666666666,0.1111111111111111,auto_threshold
0.85,0.9,0.7,0.2,success_rate,3,54,0,36,0,0.825384670781893,0.5893222222222222,37908.97747927458,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6503796296296296,0.0,0.6666666666666666,0.0,auto_threshold
0.85,0.9,0.7,0.2,success_rate,1,54,0,33,0,0.8253239197530865,0.5892555555555556,38039.12453462738,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6485833333333333,0.0,0.6111111111111112,0.0,auto_threshold
0.85,0.9,0.7,0.25,success_rate,3,54,0,36,0,0.8207033950617283,0.5844222222222222,38069.810697225534,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6438981481481482,0.0,0.6666666666666666,0.0,auto_threshold
0.85,0.9,0.7,0.25,success_rate,1,54,0,36,0,0.8206423353909466,0.5843666666666666,38215.39594221798,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6420925925925927,0.0,0.6666666666666666,0.0,auto_threshold
0.85,0.9,0.8,0.25,success_rate,3,54,0,36,0,0.8204087962962964,0.5866333333333335,37944.96150232289,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6468333333333334,0.0,0.6666666666666666,0.0,auto_threshold
0.85,0.9,0.5,0.25,success_rate,3,54,0,36,0,0.8203943930041153,0.5795666666666667,38271.56188306718,2.2812827499713316e-10,0.038638528141382585,0.0311785714285714,0.6362407407407408,0.0,0.6666666666666666,0.0,auto_threshold
0.85,0.9,0.5,0.25,success_rate,1,54,0,33,0,0.820348353909465,0.5794777777777778,38417.148691229646,2.2812827499713316e-10,0.038638528141382585,0.0311785714285714,0.6350277777777777,0.0,0.6111111111111112,0.0,auto_threshold
0.85,0.9,0.8,0.25,success_rate,1,54,0,36,0,0.8203330761316872,0.5865777777777778,38060.70853704997,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6445277777777777,0.0,0.6666666666666666,0.0,auto_threshold
0.8,0.99,0.5,0.1,amount,1,54,0,9,0,0.870988425925926,0.7032666666666667,47140.742525420195,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7174722222222222,0.0,0.16666666666666666,0.0,manual_aggressive_topk
0.8,0.99,0.5,0.1,amount,3,54,0,9,0,0.8709880658436213,0.7032777777777777,47068.25770673161,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.717462962962963,0.0,0.16666666666666666,0.0,manual_aggressive_topk
0.8,0.99,0.5,0.1,amount,5,54,0,9,0,0.8710360596707818,0.7033222222222223,46981.97561395977,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7190277777777778,0.0,0.16666666666666666,0.0,manual_aggressive_topk
0.8,0.99,0.5,0.1,amount,10,54,0,9,0,0.8710632201646091,0.7034666666666667,46540.2843070451,3.5924672868753267e-10,0.04278262906776284,0.0349565217391304,0.7246574074074075,0.0,0.16666666666666666,0.0,manual_aggressive_topk
