Year,Mkt-RF,SMB,HML,RF
1927,0.30122022089937217,-0.004867831036254544,-0.018915211039010504,0.04326382740789625
1928,0.3602155682103525,0.04173153474293567,-0.027641516156373225,0.04746541293363293
1929,-0.18793734525924555,-0.33420370924101983,0.1366620066874531,0.047397677669483995
1930,-0.252158491301676,0.007475190414009569,-0.09779424944599702,0.10156453158772738
1931,-0.38175637485311,0.1893422615182394,-0.061461346462208466,0.12395477263121357
1932,0.0026434103937813536,0.17618261653480638,0.47067453134568105,0.11898800315268865
1933,0.528404730005974,0.32382552347584737,0.3070549299133334,-0.019791881647994614
1934,0.000506941845301645,0.2749810612617556,-0.21780642994089938,-0.027663308129557418
1935,0.42708671962604927,0.057192712267941204,0.07498317464251736,-0.013112183204920025
1936,0.2911354342242536,0.11365101598355376,0.25010483709826703,-0.019513444586573003
1937,-0.3673364747117852,-0.22023149365760109,-0.06948631006554618,-0.02495468686825153
1938,0.31890045889475593,0.14888518802872852,-0.038669935749711115,0.028159879509028096
1939,0.02499913651657404,0.11844326322823884,-0.1253032932344481,9.996999700012665e-05
1940,-0.07840957247714253,0.020784068198410832,0.0009012527791669722,-0.007290832311879547
1941,-0.18660199127527521,-0.12113190030917309,0.03310250659319225,-0.0899587261277911
1942,0.0655182271650554,-0.04653329739204215,0.07850416636492796,-0.08026894728829925
1943,0.24205226617834663,0.23427427454272842,0.2707403085506872,-0.025330753931760208
1944,0.18233028990019817,0.12783131339312725,0.11161436480072662,-0.019241189371344447
1945,0.35264844315156796,0.16925355754817217,0.06107712564740431,-0.018843760754245875
1946,-0.21049968705803956,-0.17609929792710954,-0.12091437309761865,-0.15043591035678117
1947,-0.054365626569557346,-0.14105233615136603,0.011264753784683057,-0.07659219194830424
1948,-0.01897904181321619,-0.11685429394618652,0.014480155297594832,-0.02115186644362732
1949,0.2140909800040025,0.05817882785770534,-0.011094740484394183,0.032579446810126145
1950,0.2133660740408403,-0.045757393305012606,0.1459720064112724,-0.04451405181002299
1951,0.12214316589367624,-0.09834812332235687,-0.10064453466864687,-0.042546526078075964
1952,0.10808541187395182,-0.06942279643994764,0.02547517367909724,0.008909170928803611
1953,-0.018290039369641353,-0.020209790157311724,-0.08237399123698375,0.01067987215784938
1954,0.5018013417606435,-0.010193924020389322,0.2007825174668696,0.016189043616610554
1955,0.2298546268185344,-0.059805125998807385,0.04131014030147817,0.011921255511174955
1956,0.02672456171115889,-0.04159407948637828,-0.05103775334934435,-0.005026419813633276
1957,-0.15245844262057417,-0.05564787207866806,-0.09927048165028185,0.0024892334892485657
1958,0.4039499870280874,0.08242135238768378,0.07567754771051405,-0.0022626260371919615
1959,0.07667359755854553,0.029185057718673635,-0.003541087438541868,0.012183519888035343
1960,-0.02769617537184932,-0.04242474164506249,-0.0637396361356275,0.01293712939031777
1961,0.23518184170752798,0.0041053787947307185,0.03678591027340272,0.014395038339669819
1962,-0.13755875202429724,-0.09248785309285423,0.07607557374952556,0.013818761613932695
1963,0.15454233034380094,-0.06601378853902184,0.11949464377044783,0.01445033775347948
1964,0.11078482313476123,-0.021266260503019496,0.08008907746990568,0.025302713237514984
1965,0.08069655715819435,0.174416599272601,0.04163648007802423,0.019579047493014423
1966,-0.15900343239344183,-0.001777597072596948,-0.04448049142696775,0.012480477500997234
1967,0.1994207094759175,0.3690745647167255,-0.0692973287081966,0.011349658136185603
1968,0.03616498874565832,0.1658640806618663,0.09853795418264255,0.004785308844385661
1969,-0.21398654278824436,-0.19232209674146228,-0.1617264582114829,0.0035078490078570557
1970,-0.1104004091195675,-0.15480646632667827,0.1567644903793164,0.00896479481034862
1971,0.07801269686847756,0.025968971234923366,-0.11626156565014834,0.010838759707792356
1972,0.08927642498648458,-0.13580479317728533,-0.016313982390058546,0.004152370612819034
1973,-0.30693388730728444,-0.3110942948974946,0.13481687391474506,-0.01623569114265455
1974,-0.4069270955783698,-0.12181893315366721,-0.015723529334552566,-0.03852991507527381
1975,0.22414156792071038,0.04687821333313669,0.0032384137853949113,-0.01064172871129998
1976,0.15322802403508762,0.06914671301987418,0.1502097241244431,0.0020965115654496547
1977,-0.13657529100996535,0.15683308749731295,0.006625459787394039,-0.014756506822647175
1978,-0.07384879029181923,0.057196759500214966,-0.0927607598574074,-0.016705622032683
1979,-0.01186531297947202,0.04527511632350967,-0.1308560814146016,-0.025690656494210873
1980,0.06498453992656006,-0.06500885576671922,-0.27466575687122763,-0.011176749720984702
1981,-0.22741810380170502,-0.019476760302947427,0.14869276162102274,0.053204087589430404
1982,0.05827596324329254,0.025797834307983214,0.05115358313655438,0.0645741265029276
1983,0.08605430983544315,0.07436253480590027,0.11588159508862228,0.04821952959899889
1984,-0.09085980275105932,-0.11308639096719009,0.14708294376695696,0.05664702658676202
1985,0.18765652976436953,-0.035677255832126886,-0.041424966639657446,0.03778103256291199
1986,0.08522003088110552,-0.09760827601944955,0.06895726395577295,0.05004199536432119
1987,-0.07797286733329356,-0.126091459852539,-0.07783975231017393,0.009939593031711436
1988,0.06288996515406309,0.0011365332792374616,0.07783785402716958,0.018560976182264488
1989,0.13745987423177541,-0.1416397795626143,-0.08004352339982201,0.03562200012840311
1990,-0.17951052790567912,-0.19138888790755282,-0.168299842905563,0.01632192164687951
1991,0.24006881171089267,0.09359397391675706,-0.13312509342880274,0.024589722071939768
1992,0.030843771878368065,0.03471657230198488,0.18861751116514314,0.005873090253285529
1993,0.05158204426992463,0.03151025022252707,0.12266929935692872,0.0014537273916332971
1994,-0.06417978177600514,-0.03176663756971565,-0.036519280202785276,0.01201029792401731
1995,0.26532099398624553,-0.09517371973237643,0.014396774127024115,0.029844807475861268
1996,0.11572058016266196,-0.07085519556326192,0.028265052480520136,0.018170765726718496
1997,0.2272499535694339,-0.08347465431489165,0.12262953153001788,0.03490460854434474
1998,0.1667705650919007,-0.2065142829244364,-0.11694317701690216,0.03191336224159769
1999,0.16589754746600538,0.08902652776006215,-0.2453211602041716,0.019508178888924643
2000,-0.19322111448988466,-0.09543500663988402,0.3964627041767501,0.024142067696628633
2001,-0.15837848995722092,0.1764293047122092,0.13806327856390532,0.022383479717882127
2002,-0.2423603803983193,0.01954130952299926,0.08267980370206929,-0.0072754179555887255
2003,0.2797934809146261,0.18637211078261484,0.01519207539161882,-0.008389495711402017
2004,0.0714500412200696,0.010657107658796017,0.03419821810360513,-0.020039740126804984
2005,-0.003626816321910198,-0.051230697424477056,0.05196650571711747,-0.0042148910205870305
2006,0.07409765885548136,-0.021798989372718403,0.07569630503357083,0.022160168964356464
2007,-0.02932549010310792,-0.1093251903061273,-0.19018137350747932,0.00562543108097624
2008,-0.3774136076064565,0.04473258952937553,0.022384656853202678,0.014984855468068714
2009,0.251115826429799,0.04835813561117841,-0.06175690111690313,-0.02561585789727383
2010,0.15567615439280424,0.11544622395023785,-0.0535883841758229,-0.013751072340764003
2011,-0.02429660988389004,-0.07503742596784613,-0.10758312349223409,-0.028383307226073407
2012,0.14287879029291295,-0.0258443225149535,0.06767925693322763,-0.01652239183369575
2013,0.33153367273434364,0.042522804476245346,0.005552190511940447,-0.014795214348049646
2014,0.10903077529113459,-0.07316779704347409,-0.027502245205256792,-0.0075081019594867016
2015,-0.0052354141010747535,-0.04586196723917457,-0.1048249993712509,-0.0071430897317885655
2016,0.11044691078901803,0.03965499803058692,0.18198935561653418,-0.018265264036804396
2017,0.18864571910202343,-0.06464201476444198,-0.12587638666472345,-0.012890537215016318
2018,-0.084816565654378,-0.04772550415705967,-0.12141901012542644,-0.001034689641303932
2019,0.25021968580548526,-0.06878786220345368,-0.10129867451179086,-0.001412287778719934
2020,0.21817800820853428,0.1219955711334142,-0.31589900213127287,-0.008989850719228865
2021,0.15709168834092346,-0.10360531964356856,0.14178490441081149,-0.06564495816376492
2022,-0.25827537317675275,-0.1298306281109438,0.23731843167349642,-0.047363263042521586
2023,0.16893899368432486,-0.047041145670200124,-0.13987929105220942,0.015346772860717506
2024,0.15525543674711306,-0.11345595325005364,-0.09744864710795154,0.022978599274301237
2025,0.0983107422928926,-0.10998479910403758,0.03705650937255389,0.015098318795751409
