Year,Country,Gold_USD_per_oz,xrusd,Gold_Nominal_Return
1871,AUS,18.93,0.3691464496,0.00599625
1872,AUS,18.94,0.3692388093,0.00077859
1873,AUS,18.94,0.3624047758,-0.01850844
1874,AUS,18.94,0.3722234551,0.02709313
1875,AUS,18.94,0.3609256158,-0.0303523
1876,AUS,18.94,0.372021708,0.03074343
1877,AUS,18.94,0.3999106798,0.07496598
1878,AUS,18.94,0.4125728812,0.03166257
1879,AUS,18.94,0.4150882566,0.0060968
1880,AUS,18.94,0.412522539,-0.00618114
1881,AUS,18.94,0.4158748782,0.00812644
1882,AUS,18.94,0.4124365263,-0.00826776
1883,AUS,18.94,0.4131763214,0.00179372
1884,AUS,18.94,0.4137967507,0.00150161
1885,AUS,18.94,0.4130946605,-0.0016967
1886,AUS,18.94,0.4121250083,-0.00234729
1887,AUS,18.94,0.4144716821,0.00569408
1888,AUS,18.94,0.4129029645,-0.00378486
1889,AUS,18.93,0.4117739386,-0.0032609
1890,AUS,18.94,0.4127704267,0.00294953
1891,AUS,18.96,0.413350539,0.00246286
1892,AUS,18.96,0.4123145092,-0.00250642
1893,AUS,18.96,0.4131714963,0.00207848
1894,AUS,18.94,0.4124115767,-0.00289215
1895,AUS,18.93,0.4110428471,-0.00384507
1896,AUS,18.98,0.4130498689,0.00753696
1897,AUS,18.98,0.4129649029,-0.0002057
1898,AUS,18.98,0.416281522,0.00803124
1899,AUS,18.94,0.4155174734,-0.00393903
1900,AUS,18.96,0.4155043642,0.00102438
1901,AUS,18.98,0.4150841149,4.237e-05
1902,AUS,18.97,0.4152713811,-7.596e-05
1903,AUS,18.95,0.4155164907,-0.00046468
1904,AUS,18.96,0.4146392389,-0.00158464
1905,AUS,18.92,0.4148814572,-0.00152677
1906,AUS,18.9,0.4149464724,-0.00090054
1907,AUS,18.94,0.4119695344,-0.00507305
1908,AUS,18.95,0.4148029921,0.00740945
1909,AUS,18.96,0.4135551535,-0.00248215
1910,AUS,18.92,0.4139599673,-0.00113291
1911,AUS,18.92,0.4146558862,0.00168113
1912,AUS,18.93,0.4141647358,-0.00065656
1913,AUS,18.92,0.4138494397,-0.00128914
1914,AUS,18.99,0.4096698417,-0.0064369
1915,AUS,18.99,0.4272693557,0.04296024
1916,AUS,18.99,0.4259171288,-0.00316481
1917,AUS,18.99,0.4245090663,-0.00330595
1918,AUS,18.99,0.4244381209,-0.00016712
1919,AUS,19.95,0.4573750556,0.13207716
1920,AUS,20.68,0.5594117323,0.26784666
1921,AUS,20.58,0.5297549951,-0.05759338
1922,AUS,20.66,0.4526623618,-0.1422035
1923,AUS,21.32,0.4356875302,-0.00675216
1924,AUS,20.69,0.4423204623,-0.01477553
1925,AUS,20.64,0.4144714195,-0.06522571
1926,AUS,20.63,0.4125745185,-0.00505895
1927,AUS,20.64,0.4143383441,0.00476197
1928,AUS,20.66,0.4151414263,0.0029091
1929,AUS,20.63,0.4365832222,0.0501223
1930,AUS,20.65,0.5307128195,0.21678365
1931,AUS,17.06,0.5523449889,-0.14017551
1932,AUS,20.69,0.7169864075,0.57427996
1933,AUS,26.33,0.593316383,0.05309072
1934,AUS,34.69,0.5002905825,0.11093699
1935,AUS,34.84,0.5122578567,0.02834809
1936,AUS,34.87,0.5049468226,-0.01342339
1937,AUS,34.79,0.5077324401,0.00320976
1938,AUS,34.85,0.5134151835,0.01293633
1939,AUS,34.42,0.565962986,0.08874809
1940,AUS,33.85,0.6553938917,0.13883857
1941,AUS,33.85,0.6225099602,-0.0501743
1942,AUS,33.85,0.6220839813,-0.00068429
1943,AUS,33.85,0.6198090988,-0.00365687
1944,AUS,33.85,0.6195786865,-0.00037175
1945,AUS,34.71,0.6211180124,0.0279538
1946,AUS,34.71,0.6223937263,0.0020539
1947,AUS,34.71,0.6230529595,0.00105919
1948,AUS,34.71,0.6203473045,-0.00434258
1949,AUS,31.69,0.8928569999,0.3140583
1950,AUS,34.72,0.8928569999,0.09561376
1951,AUS,34.72,0.8992805759,0.00719441
1952,AUS,34.6,0.8920606609,-0.01145702
1953,AUS,34.84,0.8920606609,0.00693642
1954,AUS,35.04,0.8992805759,0.01388051
1955,AUS,35.03,0.8940545381,-0.00609508
1956,AUS,34.99,0.8992805759,0.00469677
1957,AUS,34.95,0.8924587246,-0.00872041
1958,AUS,35.1,0.8940545381,0.00608763
1959,AUS,35.1,0.8948545865,0.00089485
1960,AUS,35.27,0.89365505,0.00349633
1961,AUS,35.25,0.8924587246,-0.00190498
1962,AUS,35.23,0.8940545381,0.00121972
1963,AUS,35.09,0.8960573485,-0.00174264
1964,AUS,35.1,0.897666069,0.00208083
1965,AUS,35.12,0.8940545381,-0.00345574
1966,AUS,35.13,0.8976660682,0.00432538
1967,AUS,34.95,0.8920606609,-0.01133625
1968,AUS,38.925,0.9009009009,0.12477091
1969,AUS,41.083,0.8944543836,0.04788761
1970,AUS,35.942,0.8968609874,-0.12278303
1971,AUS,40.804,0.8396305633,0.06282951
1972,AUS,58.159,0.7843137261,0.33142212
1973,AUS,97.326,0.6720430112,0.4339011
1974,AUS,159.245,0.7535795032,0.83471638
1975,AUS,161.029,0.7954816648,0.06742996
1976,AUS,124.816,0.9204712813,-0.10309544
1977,AUS,147.721,0.87611705,0.12648099
1978,AUS,193.239,0.8691873106,0.2977881
1979,AUS,306.668,0.9045680696,0.65158738
1980,AUS,607.864,0.8469551968,0.855911
1981,AUS,459.754,0.8866034231,-0.20825002
1982,AUS,375.797,1.019783807,-0.05982976
1983,AUS,422.53,1.10864745,0.22233315
1984,AUS,360.478,1.208021261,-0.0703867
1985,AUS,317.908,1.468644441,0.07217279
1986,AUS,367.694,1.504211793,0.1846155
1987,AUS,446.473,1.384083045,0.11727946
1988,AUS,437.048,1.168907072,-0.1732927
1989,AUS,381.432,1.261511291,-0.05811226
1990,AUS,383.467,1.293159188,0.03055629
1991,AUS,362.183,1.316135825,-0.03872248
1992,AUS,343.733,1.4522219,0.04718988
1993,AUS,359.77,1.476886723,0.064432
1994,AUS,384.012,1.28733268,-0.06961338
1995,AUS,384.164,1.342281879,0.04309725
1996,AUS,387.696,1.255492639,-0.05605846
1997,AUS,331.096,1.532097418,0.04216102
1998,AUS,294.161,1.628929767,-0.05540175
1999,AUS,278.768,1.529519731,-0.11016282
2000,AUS,279.032,1.805054152,0.18126203
2001,AUS,270.989,1.958480219,0.05372335
2002,AUS,309.972,1.766160367,0.03152973
2003,AUS,363.509,1.333333333,-0.1146779
2004,AUS,409.212,1.283697047,0.08381959
2005,AUS,444.843,1.362954886,0.15419008
2006,AUS,604.336,1.263743207,0.25964758
2007,AUS,696.72,1.13430127,0.03478326
2008,AUS,871.707,1.443418014,0.59212059
2009,AUS,972.966,1.1149515,-0.13783381
2010,AUS,1224.664,0.9839614287,0.11081411
2011,AUS,1569.211,0.9846396219,0.28222319
2012,AUS,1669.518,0.9610764056,0.03846143
2013,AUS,1411.462,1.128031585,-0.00770357
2014,AUS,1265.578,1.219214826,-0.03087744
2015,AUS,1160.663,1.368738024,0.02957342
2016,AUS,1248.988,1.381978994,0.08650877
2017,AUS,1257.559,1.282051282,-0.06594154
2018,AUS,1269.227,1.416831964,0.11538264
2019,AUS,1392.498,1.427347987,0.10526597
2020,AUS,1770.254,1.298364061,0.15639878
2021,AUS,1799.629,1.376,0.07738109
2022,AUS,1800.602,1.468,0.06743728
2023,AUS,1942.666,1.468,0.07889806
2024,AUS,2387.702,1.562,0.30778682
2025,AUS,3441.506,1.536,0.41735485
1871,BEL,18.93,4.613972776,0.02227808
1872,BEL,18.94,4.669705654,0.01261379
1873,BEL,18.94,4.573538024,-0.02059394
1874,BEL,18.94,4.649791375,0.01667273
1875,BEL,18.94,4.503980104,-0.03135867
1876,BEL,18.94,4.647440688,0.03185196
1877,BEL,18.94,4.9574292,0.06670091
1878,BEL,18.94,5.146447,0.03812819
1879,BEL,18.94,5.200773923,0.0105562
1880,BEL,18.94,5.216444756,0.00301317
1881,BEL,18.94,5.23,0.00259856
1882,BEL,18.94,5.26,0.00573614
1883,BEL,18.94,5.16,-0.01901141
1884,BEL,18.94,5.14,-0.00387597
1885,BEL,18.94,5.17,0.00583658
1886,BEL,18.94,5.14,-0.00580271
1887,BEL,18.94,5.21,0.01361868
1888,BEL,18.94,5.2,-0.00191939
1889,BEL,18.93,5.18,-0.00437211
1890,BEL,18.94,5.23,0.01018587
1891,BEL,18.96,5.24,0.00297003
1892,BEL,18.96,5.3,0.01145038
1893,BEL,18.96,5.56,0.0490566
1894,BEL,18.94,5.66,0.01691179
1895,BEL,18.93,5.39,-0.04820598
1896,BEL,18.98,5.51,0.02496357
1897,BEL,18.98,5.39,-0.02177858
1898,BEL,18.98,5.56,0.03153989
1899,BEL,18.94,5.52,-0.00928656
1900,BEL,18.96,5.47,-0.00801157
1901,BEL,18.98,5.35,-0.02090613
1902,BEL,18.97,5.19,-0.03041766
1903,BEL,18.95,5.13,-0.0126028
1904,BEL,18.96,5.13,0.0005277
1905,BEL,18.92,5.11,-0.00600012
1906,BEL,18.9,5.16,0.00871731
1907,BEL,18.94,5.17,0.00405849
1908,BEL,18.95,5.11,-0.01108356
1909,BEL,18.96,5.13,0.00444366
1910,BEL,18.92,5.17,0.00567112
1911,BEL,18.92,5.18,0.00193424
1912,BEL,18.93,5.21,0.00632311
1913,BEL,18.92,5.25,0.00714523
1914,BEL,18.99,5.23,-0.00012383
1915,BEL,18.99,6.06,0.15869981
1916,BEL,18.99,6.57,0.08415842
1917,BEL,18.99,7.41,0.12785388
1918,BEL,18.99,7.85,0.05937922
1919,BEL,19.95,8.76,0.17233676
1920,BEL,20.68,13.5501,0.60341532
1921,BEL,20.58,13.4302,-0.01364144
1922,BEL,20.66,13.0159,-0.02708103
1923,BEL,21.32,19.1608,0.51913482
1924,BEL,20.69,21.5341,0.09065245
1925,BEL,20.64,21.0172,-0.02636241
1926,BEL,20.63,30.6251,0.45643864
1927,BEL,20.64,35.9305,0.17380569
1928,BEL,20.66,35.8985,7.752e-05
1929,BEL,20.63,35.939,-0.00032554
1930,BEL,20.65,35.836,-0.00189928
1931,BEL,17.06,35.8975,-0.17243208
1932,BEL,20.69,35.936,0.21407913
1933,BEL,26.33,27.9335,-0.01079571
1934,BEL,34.69,21.4715,0.01272253
1935,BEL,34.84,27.1385,0.26939651
1936,BEL,34.87,29.5565,0.09003631
1937,BEL,34.79,29.6275,0.00010243
1938,BEL,34.85,29.596,0.0006596
1939,BEL,34.42,29.6705,-0.00985242
1940,BEL,33.85,29.62,-0.01823398
1941,BEL,33.85,31.12494442,0.05080839
1942,BEL,33.85,31.11111111,-0.00044444
1943,BEL,33.85,31.11111111,0.0
1944,BEL,33.85,43.821,0.40853214
1945,BEL,34.71,43.821,0.0254062
1946,BEL,34.71,57,0.30074622
1947,BEL,34.71,48.75,-0.14473684
1948,BEL,34.71,53.75,0.1025641
1949,BEL,31.69,50.4,-0.14390947
1950,BEL,34.72,51.7,0.12387364
1951,BEL,34.72,54,0.04448743
1952,BEL,34.6,51.1,-0.05697431
1953,BEL,34.84,50.45,-0.00587197
1954,BEL,35.04,50,-0.0032304
1955,BEL,35.03,49.96,-0.00108516
1956,BEL,34.99,50.225,0.00415631
1957,BEL,34.95,50.0175,-0.00526987
1958,BEL,35.1,49.8425,0.00077805
1959,BEL,35.1,49.9375,0.001906
1960,BEL,35.27,49.7,6.433e-05
1961,BEL,35.25,49.78,0.00104169
1962,BEL,35.23,49.7513,-0.00114359
1963,BEL,35.09,49.8275,-0.00244835
1964,BEL,35.1,49.6325,-0.00362964
1965,BEL,35.12,49.6425,0.0007714
1966,BEL,35.13,50.0525,0.00854614
1967,BEL,34.95,49.6275,-0.0135714
1968,BEL,38.925,50.14,0.12523536
1969,BEL,41.083,49.6663,0.04546863
1970,BEL,35.942,49.675,-0.12498367
1971,BEL,40.804,44.755,0.02283171
1972,BEL,58.159,44.0625,0.40327169
1973,BEL,97.326,41.32,0.56928969
1974,BEL,159.245,36.1225,0.43038984
1975,BEL,161.029,39.5275,0.10652145
1976,BEL,124.816,35.9825,-0.29440068
1977,BEL,147.721,32.94,0.08343844
1978,BEL,193.239,28.8,0.14372453
1979,BEL,306.668,28.048,0.54555011
1980,BEL,607.864,31.523,1.2277354
1981,BEL,459.754,38.46,-0.07721435
1982,BEL,375.797,46.92,-0.00281321
1983,BEL,422.53,55.64,0.33331682
1984,BEL,360.478,63.08,-0.03277886
1985,BEL,317.908,50.36,-0.29592856
1986,BEL,367.694,40.41,-0.07191401
1987,BEL,446.473,33.1525,-0.00382396
1988,BEL,437.048,37.345,0.10268157
1989,BEL,381.432,35.76,-0.16429494
1990,BEL,383.467,30.9825,-0.12897661
1991,BEL,362.183,31.27,-0.04673974
1992,BEL,343.733,33.18,0.00702828
1993,BEL,359.77,36.11,0.13908157
1994,BEL,384.012,31.8375,-0.05890965
1995,BEL,384.164,29.415,-0.07572381
1996,BEL,387.696,32.005,0.09805384
1997,BEL,331.096,36.92,-0.01484067
1998,BEL,294.161,34.5745,-0.16799607
1999,BEL,278.768,40.15518614,0.10063561
2000,BEL,279.032,43.35292853,0.08065704
2001,BEL,270.989,45.77317599,0.02539279
2002,BEL,309.972,38.46657767,-0.03873461
2003,BEL,363.509,31.93974663,-0.02626536
2004,BEL,409.212,29.61596065,0.04382465
2005,BEL,444.843,34.19504959,0.25515053
2006,BEL,604.336,30.63014427,0.21690734
2007,BEL,696.72,27.40296176,0.03140272
2008,BEL,871.707,28.98606021,0.32343904
2009,BEL,972.966,28.00215188,0.07827453
2010,BEL,1224.664,30.19001646,0.35703557
2011,BEL,1569.211,31.17698431,0.32322942
2012,BEL,1669.518,30.57442777,0.04335955
2013,BEL,1411.462,29.25088826,-0.1911671
2014,BEL,1265.578,33.22617577,0.01849998
2015,BEL,1160.663,37.05327455,0.0227358
2016,BEL,1248.988,38.26951902,0.11142084
2017,BEL,1257.559,33.63620445,-0.1150391
2018,BEL,1269.227,35.23135371,0.05714188
2019,BEL,1392.498,35.90875912,0.11821766
2020,BEL,1770.254,32.87417488,0.16384586
2021,BEL,1799.629,35.4587721,0.09651917
2022,BEL,1800.602,37.7984863,0.06656042
2023,BEL,1942.666,36.5479494,0.04320346
2024,BEL,2387.702,38.726304,0.30234192
2025,BEL,3441.506,37.7984863,0.40681427
1900,CHE,18.96,5.2010632,-0.00143088
1901,CHE,18.98,5.17617,-0.00373637
1902,CHE,18.97,5.1852621,0.00122873
1903,CHE,18.95,5.1774192,-0.00256524
1904,CHE,18.96,5.180188,0.00106277
1905,CHE,18.92,5.179064,-0.00232623
1906,CHE,18.9,5.1914529,0.0013325
1907,CHE,18.94,5.1906876,0.00196867
1908,CHE,18.95,5.1701745,-0.00342601
1909,CHE,18.96,5.1681672,0.00013925
1910,CHE,18.92,5.1938672,0.00285255
1911,CHE,18.92,5.1986561,0.00092203
1912,CHE,18.93,5.1993555,0.00066315
1913,CHE,18.92,5.1978524,-0.0008172
1914,CHE,18.99,5.114616,-0.01237307
1915,CHE,18.99,5.3274,0.04160312
1916,CHE,18.99,5.2202,-0.02012239
1917,CHE,18.99,4.7687,-0.08649094
1918,CHE,18.99,4.3793,-0.08165747
1919,CHE,19.95,5.2679,0.26371971
1920,CHE,20.68,5.9161,0.16414109
1921,CHE,20.58,5.7624,-0.03068991
1922,CHE,20.66,5.2452,-0.0862159
1923,CHE,21.32,5.5371,0.08937448
1924,CHE,20.69,5.4876,-0.03822525
1925,CHE,20.64,5.1742,-0.05938919
1926,CHE,20.63,5.1779,0.00023024
1927,CHE,20.64,5.1916,0.00313187
1928,CHE,20.66,5.1922,0.00108468
1929,CHE,20.63,5.1869,-0.00247136
1930,CHE,20.65,5.1594,-0.0043375
1931,CHE,17.06,5.1544,-0.17465051
1932,CHE,20.69,5.1533,0.21251961
1933,CHE,26.33,4.0265,-0.00566518
1934,CHE,34.69,3.0896,0.01094608
1935,CHE,34.84,3.0772,0.00029319
1936,CHE,34.87,3.3125,0.07739254
1937,CHE,34.79,4.3596,0.3130862
1938,CHE,34.85,4.3723,0.00464277
1939,CHE,34.42,4.4396,0.00286384
1940,CHE,33.85,4.4099,-0.02313915
1941,CHE,33.85,4.3086,-0.02297104
1942,CHE,33.85,4.3,-0.00199601
1943,CHE,33.85,4.297,-0.00069767
1944,CHE,33.85,4.29,-0.00162904
1945,CHE,34.71,4.29,0.0254062
1946,CHE,34.71,3.6,-0.16083916
1947,CHE,34.71,4.14,0.15
1948,CHE,34.71,3.99,-0.03623188
1949,CHE,31.69,4.3,-0.0160723
1950,CHE,34.72,4.29,0.09306582
1951,CHE,34.72,4.36,0.01631702
1952,CHE,34.6,4.28,-0.02174143
1953,CHE,34.84,4.29,0.00928907
1954,CHE,35.04,4.28,0.00339614
1955,CHE,35.03,4.28,-0.00028539
1956,CHE,34.99,4.28,-0.00114188
1957,CHE,34.95,4.28,-0.00114318
1958,CHE,35.1,4.307999999,0.01086198
1959,CHE,35.1,4.322999999,0.00348189
1960,CHE,35.27,4.304999999,0.00065936
1961,CHE,35.25,4.315999999,0.00198667
1962,CHE,35.23,4.318999999,0.00012732
1963,CHE,35.09,4.314999999,-0.00489635
1964,CHE,35.1,4.314999999,0.00028498
1965,CHE,35.12,4.317999999,0.00126545
1966,CHE,35.13,4.326999999,0.00236963
1967,CHE,34.95,4.324999999,-0.00558367
1968,CHE,38.925,4.301999999,0.10781116
1969,CHE,41.083,4.317999999,0.05936534
1970,CHE,35.942,4.315999999,-0.12554213
1971,CHE,40.804,3.914999999,0.02979512
1972,CHE,58.159,3.773999999,0.37399237
1973,CHE,97.326,3.243999999,0.43843716
1974,CHE,159.245,2.539999999,0.28111997
1975,CHE,161.029,2.619999999,0.04305177
1976,CHE,124.816,2.4495,-0.27532661
1977,CHE,147.721,1.999999999,-0.03367207
1978,CHE,193.239,1.619999999,0.05958929
1979,CHE,306.668,1.579999999,0.54780324
1980,CHE,607.864,1.763499999,1.21236276
1981,CHE,459.754,1.798499999,-0.2286454
1982,CHE,375.797,1.994499999,-0.09353427
1983,CHE,422.53,2.179499999,0.22864686
1984,CHE,360.478,2.585,0.01187039
1985,CHE,317.908,2.076499999,-0.29157467
1986,CHE,367.694,1.6235,-0.09571476
1987,CHE,446.473,1.278,-0.04415556
1988,CHE,437.048,1.504,0.15199586
1989,CHE,381.432,1.5465,-0.10259171
1990,CHE,383.467,1.2955,-0.15783272
1991,CHE,362.183,1.3555,-0.01176059
1992,CHE,343.733,1.456,0.01942439
1993,CHE,359.77,1.4795,0.06354853
1994,CHE,384.012,1.3115,-0.05382128
1995,CHE,384.164,1.1505,-0.12241297
1996,CHE,387.696,1.3464,0.18103328
1997,CHE,331.096,1.4553,-0.07691639
1998,CHE,294.161,1.3765,-0.15966037
1999,CHE,278.768,1.5996,0.10126796
2000,CHE,279.032,1.6365,0.02403714
2001,CHE,270.989,1.6773,-0.00461203
2002,CHE,309.972,1.3868,-0.05425536
2003,CHE,363.509,1.2369,0.0459561
2004,CHE,409.212,1.1316,0.02989166
2005,CHE,444.843,1.3143,0.26258309
2006,CHE,604.336,1.2203,0.26137381
2007,CHE,696.72,1.1255,0.06330707
2008,CHE,871.707,1.0637,0.18245852
2009,CHE,972.966,1.0305,0.08132431
2010,CHE,1224.664,0.9396,0.14766279
2011,CHE,1569.211,0.9409,0.28311285
2012,CHE,1669.518,0.9166,0.03644473
2013,CHE,1411.462,0.8915,-0.17772028
2014,CHE,1265.578,0.9891,-0.00519358
2015,CHE,1160.663,0.9921,-0.08011726
2016,CHE,1248.988,1.016,0.1020223
2017,CHE,1257.559,0.9753,-0.0334716
2018,CHE,1269.227,0.9847,0.01900578
2019,CHE,1392.498,0.9682,0.07873909
2020,CHE,1770.254,0.8806,0.15625762
2021,CHE,1799.629,0.912,0.05284286
2022,CHE,1800.602,0.924,0.01370568
2023,CHE,1942.666,0.841,-0.01801595
2024,CHE,2387.702,0.883,0.29046637
2025,CHE,3441.506,0.842,0.37442104
1871,DEU,18.93,3.69606e-12,0.01711147
1872,DEU,18.94,3.6989832e-12,0.00131958
1873,DEU,18.94,3.6105075e-12,-0.02391892
1874,DEU,18.94,3.736125e-12,0.0347922
1875,DEU,18.94,3.6608307e-12,-0.02015305
1876,DEU,18.94,3.7680296e-12,0.02928267
1877,DEU,18.94,4.026483e-12,0.06859113
1878,DEU,18.94,4.1765035e-12,0.03725845
1879,DEU,18.94,4.209198e-12,0.0078282
1880,DEU,18.94,4.216752e-12,0.00179464
1881,DEU,18.94,4.229631e-12,0.00305425
1882,DEU,18.94,4.202491e-12,-0.00641664
1883,DEU,18.94,4.213697e-12,0.00266651
1884,DEU,18.94,4.207962e-12,-0.00136104
1885,DEU,18.94,4.2015954e-12,-0.00151299
1886,DEU,18.94,4.1946344e-12,-0.00165675
1887,DEU,18.94,4.1948e-12,3.948e-05
1888,DEU,18.94,4.1797e-12,-0.00359969
1889,DEU,18.93,4.1864e-12,0.00107416
1890,DEU,18.94,4.1819e-12,-0.00054722
1891,DEU,18.96,4.1794e-12,0.00045752
1892,DEU,18.96,4.1784e-12,-0.00023927
1893,DEU,18.96,4.1875e-12,0.00217787
1894,DEU,18.94,4.1808e-12,-0.00265316
1895,DEU,18.93,4.1753e-12,-0.00184283
1896,DEU,18.98,4.1812e-12,0.00405811
1897,DEU,18.98,4.1856e-12,0.00105233
1898,DEU,18.98,4.2091e-12,0.00561449
1899,DEU,18.94,4.1963e-12,-0.0051421
1900,DEU,18.96,4.2012e-12,0.00222489
1901,DEU,18.98,4.1853e-12,-0.00273377
1902,DEU,18.97,4.1937e-12,0.0014791
1903,DEU,18.95,4.1964e-12,-0.00041115
1904,DEU,18.96,4.1788e-12,-0.00366858
1905,DEU,18.92,4.1842e-12,-0.00082019
1906,DEU,18.9,4.2154e-12,0.00639166
1907,DEU,18.94,4.2033e-12,-0.0007601
1908,DEU,18.95,4.197e-12,-0.00097163
1909,DEU,18.96,4.188e-12,-0.00161782
1910,DEU,18.92,4.2023e-12,0.00129761
1911,DEU,18.92,4.1979e-12,-0.00104705
1912,DEU,18.93,4.201e-12,0.0012674
1913,DEU,18.92,4.2107e-12,0.00177949
1914,DEU,18.99,4.28e-12,0.02021875
1915,DEU,18.99,4.86e-12,0.13551402
1916,DEU,18.99,5.52e-12,0.13580247
1917,DEU,18.99,6.58e-12,0.19202899
1918,DEU,18.99,6.01e-12,-0.08662614
1919,DEU,19.95,1.976e-11,2.45406418
1920,DEU,20.68,6.306e-11,2.30806977
1921,DEU,20.58,1.0457e-10,0.6502433
1922,DEU,20.66,1.88578e-09,17.10376336
1923,DEU,21.32,0.5349,292710602.8440014
1924,DEU,20.69,4.201151115,6.6220009
1925,DEU,20.64,4.200445247,-0.00258424
1926,DEU,20.63,4.202386956,-2.246e-05
1927,DEU,20.64,4.184100418,-0.00386884
1928,DEU,20.66,4.201680672,0.00517474
1929,DEU,20.63,4.184100418,-0.00563011
1930,DEU,20.65,4.201680672,0.00517522
1931,DEU,17.06,4.237288136,-0.16684861
1932,DEU,20.69,4.201680672,0.20258701
1933,DEU,26.33,2.679528403,-0.18843055
1934,DEU,34.69,2.48818114,0.22342421
1935,DEU,34.84,2.486325211,0.00357489
1936,DEU,34.87,2.485707184,0.00061229
1937,DEU,34.79,2.481389578,-0.00402722
1938,DEU,34.85,2.450980392,-0.0105514
1939,DEU,34.42,2.493765586,0.00490238
1940,DEU,33.85,2.501250625,-0.01360834
1941,DEU,33.85,2.489391796,-0.00474116
1942,DEU,33.85,2.489391796,0.0
1943,DEU,33.85,2.489391796,0.0
1944,DEU,33.85,2.489391796,0.0
1945,DEU,34.71,,
1946,DEU,34.71,17.5,
1947,DEU,34.71,23.5,0.34285714
1948,DEU,34.71,20.5,-0.12765957
1949,DEU,31.69,6.05,-0.73055561
1950,DEU,34.72,4.199999999,-0.23940863
1951,DEU,34.72,4.199999999,0.0
1952,DEU,34.6,4.199999999,-0.00345622
1953,DEU,34.84,4.199999999,0.00693642
1954,DEU,35.04,4.199799999,0.00569264
1955,DEU,35.03,4.215199999,0.00338041
1956,DEU,34.99,4.198599999,-0.00507551
1957,DEU,34.95,4.201699999,-0.00040569
1958,DEU,35.1,4.177499999,-0.00149245
1959,DEU,35.1,4.169999999,-0.00179533
1960,DEU,35.27,4.170999999,0.00508427
1961,DEU,35.25,3.996499999,-0.04237982
1962,DEU,35.23,3.997999999,-0.00019226
1963,DEU,35.09,3.975199999,-0.00965407
1964,DEU,35.1,3.976999999,0.00073792
1965,DEU,35.12,4.005599999,0.00776525
1966,DEU,35.13,3.977299999,-0.00678238
1967,DEU,34.95,3.998999999,0.00030418
1968,DEU,38.925,3.999499999,0.11387316
1969,DEU,41.083,3.689899999,-0.02626132
1970,DEU,35.942,3.647999999,-0.13507127
1971,DEU,40.804,3.268499999,0.01717144
1972,DEU,58.159,3.201499999,0.39610862
1973,DEU,97.326,2.702999999,0.41287742
1974,DEU,159.245,2.409499999,0.45853822
1975,DEU,161.029,2.622299999,0.10050935
1976,DEU,124.816,2.362499999,-0.30167819
1977,DEU,147.721,2.104999999,0.05451378
1978,DEU,193.239,1.827999999,0.13599556
1979,DEU,306.668,1.731499999,0.50321113
1980,DEU,607.864,1.959,1.24259011
1981,DEU,459.754,2.254799999,-0.12945208
1982,DEU,375.797,2.376499999,-0.13849543
1983,DEU,422.53,2.723799999,0.28866976
1984,DEU,360.478,3.148,-0.01399135
1985,DEU,317.908,2.4613,-0.31047103
1986,DEU,367.694,1.9408,-0.08798639
1987,DEU,446.473,1.5815,-0.01054267
1988,DEU,437.048,1.7803,0.10193996
1989,DEU,381.432,1.6978,-0.16769726
1990,DEU,383.467,1.494,-0.11534296
1991,DEU,362.183,1.516,-0.04159589
1992,DEU,343.733,1.614,0.01040967
1993,DEU,359.77,1.7263,0.11948031
1994,DEU,384.012,1.5488,-0.04236741
