bin,mean_pred,freq_real,n,source,which
2,0.27791666666666665,0.734375,384,JST_pool_eqw,calib_mc
3,0.352530303030303,0.2803030303030303,528,JST_pool_eqw,calib_mc
4,0.45027325581395344,0.7325581395348837,688,JST_pool_eqw,calib_mc
5,0.5504439655172415,0.540948275862069,464,JST_pool_eqw,calib_mc
6,0.6570719178082192,0.726027397260274,1168,JST_pool_eqw,calib_mc
7,0.7519563253012048,0.7778614457831325,1328,JST_pool_eqw,calib_mc
8,0.8510840517241379,0.8318965517241379,1856,JST_pool_eqw,calib_mc
9,0.9364330357142858,0.9587053571428571,1792,JST_pool_eqw,calib_mc
1,0.13613930927306625,0.6294642857142857,224,JST_pool_eqw,calib_hb
2,0.2534155478785804,0.38871951219512196,656,JST_pool_eqw,calib_hb
3,0.34665792473612256,0.5354166666666667,480,JST_pool_eqw,calib_hb
4,0.4560210800003659,0.7053571428571429,672,JST_pool_eqw,calib_hb
5,0.5578340107649884,0.5792682926829268,656,JST_pool_eqw,calib_hb
6,0.6452025021989958,0.7758928571428572,1120,JST_pool_eqw,calib_hb
7,0.745260020428168,0.8040254237288136,944,JST_pool_eqw,calib_hb
8,0.8445900075903412,0.8419811320754716,848,JST_pool_eqw,calib_hb
9,0.9634671320475375,0.9505368098159509,2608,JST_pool_eqw,calib_hb
0,0.3141160170523751,0.5042630937880633,821,JST_pool_eqw,calib_mc_eqc
1,0.44570158343483557,0.6467722289890377,821,JST_pool_eqw,calib_mc_eqc
2,0.588024665042631,0.7222898903775883,821,JST_pool_eqw,calib_mc_eqc
3,0.6765579268292682,0.6646341463414634,820,JST_pool_eqw,calib_mc_eqc
4,0.7380633373934227,0.7210718635809987,821,JST_pool_eqw,calib_mc_eqc
5,0.7932847137637028,0.7892813641900122,821,JST_pool_eqw,calib_mc_eqc
6,0.8436272865853658,0.8292682926829268,820,JST_pool_eqw,calib_mc_eqc
7,0.8877997868453105,0.902557856272838,821,JST_pool_eqw,calib_mc_eqc
8,0.924771772228989,0.9488428745432399,821,JST_pool_eqw,calib_mc_eqc
9,0.9541042935444579,0.9805115712545676,821,JST_pool_eqw,calib_mc_eqc
0,0.21837179318239602,0.43118148599269185,821,JST_pool_eqw,calib_hb_eqc
1,0.3714082439264314,0.5261875761266748,821,JST_pool_eqw,calib_hb_eqc
2,0.5109600133773614,0.7344701583434835,821,JST_pool_eqw,calib_hb_eqc
3,0.6125786908257199,0.7182926829268292,820,JST_pool_eqw,calib_hb_eqc
4,0.6849643183005966,0.7271619975639464,821,JST_pool_eqw,calib_hb_eqc
5,0.7723949482938155,0.8428745432399513,821,JST_pool_eqw,calib_hb_eqc
6,0.8623991559310279,0.8792682926829268,820,JST_pool_eqw,calib_hb_eqc
7,0.9298613989220537,0.9147381242387332,821,JST_pool_eqw,calib_hb_eqc
8,0.9772627392547405,0.9549330085261876,821,JST_pool_eqw,calib_hb_eqc
9,0.9929031216050322,0.9805115712545676,821,JST_pool_eqw,calib_hb_eqc
2,0.29062499999999997,1.0,3,US_100stock,calib_mc
3,0.36031854838709676,0.8064516129032258,31,US_100stock,calib_mc
4,0.45039802631578957,0.5,38,US_100stock,calib_mc
5,0.5454898648648647,0.6216216216216216,37,US_100stock,calib_mc
6,0.6564200000000001,0.88,50,US_100stock,calib_mc
7,0.7538575268817205,0.7741935483870968,93,US_100stock,calib_mc
8,0.8509648437499999,0.8125,96,US_100stock,calib_mc
9,0.9535242424242425,0.9575757575757575,165,US_100stock,calib_mc
2,0.2710838103395543,0.4782608695652174,23,US_100stock,calib_hb
3,0.3512171974983815,0.6285714285714286,35,US_100stock,calib_hb
4,0.44517722884432437,0.4722222222222222,36,US_100stock,calib_hb
5,0.5312058040234093,1.0,21,US_100stock,calib_hb
6,0.6601371475456367,0.66,50,US_100stock,calib_hb
7,0.7524660562288107,0.7634408602150538,93,US_100stock,calib_hb
8,0.8555841348759285,0.9242424242424242,66,US_100stock,calib_hb
9,0.9812538875653746,0.9841269841269841,189,US_100stock,calib_hb
0,0.3773557692307693,0.6538461538461539,52,US_100stock,calib_mc_eqc
1,0.513220588235294,0.7058823529411765,51,US_100stock,calib_mc_eqc
2,0.6448063725490196,0.7647058823529411,51,US_100stock,calib_mc_eqc
3,0.7251789215686276,0.7058823529411765,51,US_100stock,calib_mc_eqc
4,0.781170673076923,0.8076923076923077,52,US_100stock,calib_mc_eqc
5,0.8342941176470589,0.8431372549019608,51,US_100stock,calib_mc_eqc
6,0.8834534313725491,0.803921568627451,51,US_100stock,calib_mc_eqc
7,0.9269583333333332,0.9411764705882353,51,US_100stock,calib_mc_eqc
8,0.961171568627451,1.0,51,US_100stock,calib_mc_eqc
9,0.9828317307692309,1.0,52,US_100stock,calib_mc_eqc
0,0.31089238789035434,0.5192307692307693,52,US_100stock,calib_hb_eqc
1,0.45107012937051877,0.6274509803921569,51,US_100stock,calib_hb_eqc
2,0.6253908319236302,0.6862745098039216,51,US_100stock,calib_hb_eqc
3,0.7152485302718173,0.7647058823529411,51,US_100stock,calib_hb_eqc
4,0.7760489758123386,0.7884615384615384,52,US_100stock,calib_hb_eqc
5,0.8429517635710855,0.9215686274509803,51,US_100stock,calib_hb_eqc
6,0.9237396308843904,0.9215686274509803,51,US_100stock,calib_hb_eqc
7,0.9792033190053243,1.0,51,US_100stock,calib_hb_eqc
8,0.9937687169110506,1.0,51,US_100stock,calib_hb_eqc
9,1.0,1.0,52,US_100stock,calib_hb_eqc
0,0.098875,1.0,16,JST_pool_early_1915_1938,calib_mc
1,0.14160937499999998,0.453125,128,JST_pool_early_1915_1938,calib_mc
2,0.25756666666666667,0.5791666666666667,240,JST_pool_early_1915_1938,calib_mc
3,0.3602416666666667,0.375,240,JST_pool_early_1915_1938,calib_mc
4,0.45493750000000005,0.6026785714285714,224,JST_pool_early_1915_1938,calib_mc
5,0.5557083333333332,0.8458333333333333,240,JST_pool_early_1915_1938,calib_mc
6,0.6490555555555557,0.7245370370370371,432,JST_pool_early_1915_1938,calib_mc
7,0.7530374999999999,0.825,640,JST_pool_early_1915_1938,calib_mc
8,0.8549305555555554,0.8871527777777778,576,JST_pool_early_1915_1938,calib_mc
9,0.9493305555555556,0.9222222222222223,720,JST_pool_early_1915_1938,calib_mc
1,0.15869773124966377,0.2777777777777778,144,JST_pool_early_1915_1938,calib_hb
2,0.2555424633903423,0.2708333333333333,96,JST_pool_early_1915_1938,calib_hb
3,0.3425446856509913,0.55859375,256,JST_pool_early_1915_1938,calib_hb
4,0.4673567139773662,0.2604166666666667,96,JST_pool_early_1915_1938,calib_hb
5,0.5565260988026874,0.6826923076923077,208,JST_pool_early_1915_1938,calib_hb
6,0.6471128463255336,0.78515625,256,JST_pool_early_1915_1938,calib_hb
7,0.7560923421168245,0.6490384615384616,208,JST_pool_early_1915_1938,calib_hb
8,0.8713700583575094,0.6988636363636364,176,JST_pool_early_1915_1938,calib_hb
9,0.9861604704929908,0.9037698412698413,2016,JST_pool_early_1915_1938,calib_hb
0,0.2036929190751445,0.5433526011560693,346,JST_pool_early_1915_1938,calib_mc_eqc
1,0.364882225433526,0.4653179190751445,346,JST_pool_early_1915_1938,calib_mc_eqc
2,0.5117793478260869,0.7130434782608696,345,JST_pool_early_1915_1938,calib_mc_eqc
3,0.6288963150289018,0.7427745664739884,346,JST_pool_early_1915_1938,calib_mc_eqc
4,0.7006579710144928,0.7594202898550725,345,JST_pool_early_1915_1938,calib_mc_eqc
5,0.7644768786127168,0.8294797687861272,346,JST_pool_early_1915_1938,calib_mc_eqc
6,0.8231876811594203,0.8927536231884058,345,JST_pool_early_1915_1938,calib_mc_eqc
7,0.8758890895953758,0.9046242774566474,346,JST_pool_early_1915_1938,calib_mc_eqc
8,0.9261503623188405,0.9420289855072463,345,JST_pool_early_1915_1938,calib_mc_eqc
9,0.9764385838150289,0.8959537572254336,346,JST_pool_early_1915_1938,calib_mc_eqc
0,0.2346550908389387,0.3786127167630058,346,JST_pool_early_1915_1938,calib_hb_eqc
1,0.43867548813913126,0.5,346,JST_pool_early_1915_1938,calib_hb_eqc
2,0.6241366190481035,0.7478260869565218,345,JST_pool_early_1915_1938,calib_hb_eqc
3,0.7888235694626345,0.661849710982659,346,JST_pool_early_1915_1938,calib_hb_eqc
4,0.9169076791838574,0.8840579710144928,345,JST_pool_early_1915_1938,calib_hb_eqc
5,0.9852855564536096,0.7485549132947977,346,JST_pool_early_1915_1938,calib_hb_eqc
6,0.998881090509659,0.8666666666666667,345,JST_pool_early_1915_1938,calib_hb_eqc
7,1.0,0.9826589595375722,346,JST_pool_early_1915_1938,calib_hb_eqc
8,1.0,0.9739130434782609,345,JST_pool_early_1915_1938,calib_hb_eqc
9,1.0,0.9450867052023122,346,JST_pool_early_1915_1938,calib_hb_eqc
